FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.13929528,13929528,POINT (16.304503312777758 48.08848966988578),Mödling Templergasse,Mödling Templergasse,"2,269,270",,2,https://anachb.vor.at?P=SQ&input=Mödling%20Templergasse&start=1,
OEFFHALTESTOGD.13929529,13929529,POINT (16.304247081337966 48.088153680863776),Mödling Templergasse,Mödling Templergasse,"2,214,269,270",,3,https://anachb.vor.at?P=SQ&input=Mödling%20Templergasse&start=1,
OEFFHALTESTOGD.13929530,13929530,POINT (16.30420681206092 48.088153669681496),Mödling Templergasse,Mödling Templergasse,"2,214,269,270",,2,https://anachb.vor.at?P=SQ&input=Mödling%20Templergasse&start=1,
OEFFHALTESTOGD.13929531,13929531,POINT (16.329929865331902 48.06673297177715),IZ NÖ-Süd Straße 10/Straße 9,IZ NÖ-Süd Straße 10/Straße 9,"209,219,301,309",,3,https://anachb.vor.at?P=SQ&input=IZ%20NÖ-Süd%20Straße%2010/Straße%209&start=1,
OEFFHALTESTOGD.13929532,13929532,POINT (16.330046665022685 48.06670897183302),IZ NÖ-Süd Straße 10/Straße 9,IZ NÖ-Süd Straße 10/Straße 9,"219,301",,3,https://anachb.vor.at?P=SQ&input=IZ%20NÖ-Süd%20Straße%2010/Straße%209&start=1,
OEFFHALTESTOGD.13929533,13929533,POINT (16.330837165313383 48.067879571272414),IZ NÖ-Süd Str. 7/Güterbahnhof,IZ NÖ-Süd Str. 7/Güterbahnhof,"209,219",,3,https://anachb.vor.at?P=SQ&input=IZ%20NÖ-Süd%20Straße%207/Güterbahnhof&start=1,
OEFFHALTESTOGD.13930754,13930754,POINT (16.305751911851036 48.21441346953639),Maroltingergasse (Ottakringer Straße),Maroltingergasse (Ottakringer Straße),44,,1,https://anachb.vor.at?P=SQ&input=Wien%20Maroltingergasse&start=1,
OEFFHALTESTOGD.13930755,13930755,POINT (16.303667811934798 48.16571916955441),Marschallplatz,Marschallplatz,"16A,63A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Marschallplatz&start=1,
OEFFHALTESTOGD.13930756,13930756,POINT (16.3035241120098 48.16571316992665),Marschallplatz,Marschallplatz,"16A,63A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Marschallplatz&start=1,
OEFFHALTESTOGD.13930757,13930757,POINT (16.277684000381957 48.24017619069957),Schwarzenbergallee,Schwarzenbergallee,"43B,445",,3,https://anachb.vor.at?P=SQ&input=Wien%20Schwarzenbergallee&start=1,
